id,state,min,max,avg
0,Alabama,41710,137950,84717.5
1,Alaska,50350,120560,81968.5
2,Arizona,61030,131060,87907.94117647059
3,Arkansas,37000,110310,69546.83333333333
4,California,65980,176370,108497.08333333333
5,Colorado,54350,153300,97123.47222222222
6,Connecticut,61400,146700,91880.3125
7,Delaware,58180,147740,94045.5
8,District of Columbia,57990,160980,111036.4705882353
9,Florida,44810,130640,85130.41666666667
10,Georgia,37720,138040,90815.58823529411
11,Hawaii,50510,120270,80298.16666666667
12,Idaho,52210,125520,76612.96875
13,Illinois,57430,140460,95745.27777777778
14,Indiana,37960,122930,79894.11764705883
15,Iowa,33850,124510,81942.83333333333
16,Kansas,33340,121220,81507.64705882352
17,Kentucky,39620,116250,77427.1875
18,Louisiana,18070,108090,72195.78125
19,Maine,52120,121770,79920.78125
20,Maryland,56810,159510,102887.08333333333
21,Massachusetts,66560,156450,101791.11111111111
22,Michigan,54350,124480,82763.75
23,Minnesota,49680,136480,93690.88235294117
24,Mississippi,29830,111170,76249.84375
25,Missouri,63340,125280,85377.94117647059
26,Montana,44010,106660,71923.75
27,Nebraska,35350,120950,78393.08823529411
28,Nevada,64790,125750,83363.23529411765
29,New Hampshire,71170,150320,95578.90625
30,New Jersey,64280,161620,107094.44444444444
31,New Mexico,21150,127330,83188.23529411765
32,New York,65650,162370,103922.36111111111
33,North Carolina,72920,140930,95209.26470588235
34,North Dakota,47300,103050,71881.25
35,Ohio,48560,127390,85870.83333333333
36,Oklahoma,45130,117290,75466.40625
37,Oregon,45130,134460,87776.32352941176
38,Pennsylvania,45650,134010,89911.66666666667
39,Rhode Island,39650,133410,91327.5
40,South Carolina,58110,121810,80565.88235294117
41,South Dakota,47410,100800,69948.125
42,Tennessee,53390,120860,81060.29411764706
43,Texas,64110,146960,94933.05555555556
44,Utah,33400,133850,81756.0294117647
45,Vermont,53560,123660,76590.17857142857
46,Virginia,54170,160940,96182.22222222222
47,Washington,56430,170200,108759.86111111111
48,West Virginia,41890,120150,72230.0
49,Wisconsin,58490,122520,81499.11764705883
50,Wyoming,37420,102330,69351.92307692308
